1P 9am-6pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 18}]
1P Meter 9:00am-5.30pm Mon-Fri 9:00am-4:00pm Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:16}]
1P Meter 9:00am-5:30pm Mon-Fri 9:00am-4:00pm Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:16}]
1P Meter 9:00am-5:30pm Mon-Fri, 9:00am-4:00pm Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:16}]
1P Meter 9am-5:30pm Mon-Fri|[{day_s:1, day_e: 5,hour_s: 9, hour_e: 17.5}]
1P Meter 9am-5:30pm Mon-Fri, 9am-11:30am Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:11.5}]
1P Meter 9am-5:30pm Mon-Fri, 9am-4pm Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:16}]
1P Meter 9am-5:30pm Mon-Fri, 9am-4pm Sat ; Taxi Zone; Reserved for Taxis 10:00pm-4:00am Thu-Sun|[{hour_s:0, hour_e:4}, {hour_s:22, hour_e:24},{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:16}]
1P Meter 9am-5:30pm Mon-Fri; 9am-4pm Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.5},{day_s:6, day_e:6,hour_s:9, hour_e:16}]
1P Meter 9am-5:50pm Mon-Fri; 9am-4pm Sat|[{day_s:1, day_e: 5, hour_s: 9, hour_e: 17.8},{day_s:6, day_e:6,hour_s:9, hour_e:16}]
1P, Mon-Sat, 7am-7pm|[{day_s:1, day_e: 6,hour_s: 7, hour_e: 19}]
1hr Parking 8:00am-6.30pm Mon-Frii|[{day_s:1, day_e: 5,hour_s: 8, hour_e: 18.5}]
2P 8am-5pm M-Fi|[{day_s:1, day_e: 5,hour_s: 8, hour_e: 17}]
