X,Y,objectid,time,local_id,type,comments,eqnum
147.140128100712758,-41.436635025294628,106,1,AV01,dig,Multibay Meter (3),357954
147.139856781647211,-41.436790546525771,107,1,AV03,dig,Multibay Meter (2),357950
147.139264840000152,-41.437142667130956,108,1,AV05,dig,Multibay Meter (4),357953
147.136921936056638,-41.437044198465657,109,1,PT07,dig,Multibay Meter (3),344880
147.137295940628348,-41.436843586964393,110,1,PT05,dig,Multibay Meter (8),344107
147.137142768347729,-41.436783310978015,111,1,PT08,dig,Multibay Meter (6),344106
147.138950041187087,-41.439565006222367,112,1,CH17,dig,Multibay Meter (5),357955
147.13881983433933,-41.439635079980086,113,1,CH20,dig,Multibay Meter (3),357960
147.13903118239395,-41.434598532564692,114,1,GE08,dig,Multibay Meter (4),344901
147.138793125460097,-41.434301426598751,115,1,GE06,dig,Multibay Meter (4),344900
147.138934234591233,-41.434241130856101,116,1,GE05,dig,Multibay Meter (4),344885
147.139132610480061,-41.434491940663221,117,1,GE07,dig,Multibay Meter (4),344898
147.142259938234503,-41.43841363375369,118,3,GE17,dig,"Multibay Meter (5)
Multibay Meter (5)",357941
