objectid,comments,class,parktime_mins,surveydate,signinfo,meternumber,baynumber,drawingnumber,mode,st_areashape,st_lengthshape
1711,,Signed,60,2014-06-16T00:00:00.000Z,1P 9am-6pm Mon-Fri,,,870,Active,13.3316963444113,0
1712,,Signed,10,2009-10-22T00:00:00.000Z,"P10-Min,9am-6pm, Mon-Fri",,,179,Active,14.3020719972781,0
1713,,Signed,10,2009-10-22T00:00:00.000Z,"P10-Min, 9am-6pm, Mon-Fri",,,179,Active,12.1025550032004,0
1714,,Bus Stop,,2008-04-16T00:00:00.000Z,Bus Zone - Metro,,,,Active,36.5244725071206,0
1715,,Bus Stop,,2008-04-22T00:00:00.000Z,Bus Stop - Metro,,,,Active,50.3052465064501,0
1716,,Bus Stop,,2008-04-16T00:00:00.000Z,Bus Zone - Metro,,,,Active,48.2220144939097,0
1717,,Bus Stop,,2008-04-14T00:00:00.000Z,Bus Zone,,,,Active,56.3879759771934,0
1718,,No Parking,,2009-07-08T00:00:00.000Z,No Parking,,,,Active,134.00129352428,0
1719,,Signed,60,2014-06-16T00:00:00.000Z,1P 9am-6pm Mon-Fri,,,870,Active,14.3030040017983,0
1720,,Signed,60,2014-06-16T00:00:00.000Z,1P 9am-6pm Mon-Fri,,,870,Active,12.1001209982054,0
1721,,Bus Stop,,2008-04-04T00:00:00.000Z,Bus Zone - Metro,,,,Active,55.7121409989165,0
1722,,Bus Stop,,2008-04-14T00:00:00.000Z,"Bus Zone - Metro; Section 2 Start",,,,Active,60.3897310055929,0
1723,Bus Zone - Metro,Bus Stop,15,2008-04-14T00:00:00.000Z,"Bus Zone 1/4P 7:30am-6:00pm Mon-Fri; Section 1 Start",,,,Active,60.6514380065557,0
1724,,Bus Stop,,2008-04-04T00:00:00.000Z,Bus Zone - Metro,,,,Active,41.9188439986674,0
1725,,Unrestricted,,2009-09-14T00:00:00.000Z,,,,162,Active,13.7529205001141,0
1726,,Unrestricted,,2009-09-14T00:00:00.000Z,,,,162,Active,16.2390960010913,0
1727,,Unrestricted,,2009-09-14T00:00:00.000Z,,,,162,Active,16.2380400009179,0
1728,,Bus Stop,,2008-04-08T00:00:00.000Z,Bus Zone - Metro,,,,Active,47.3241921036784,0
1730,,Unrestricted,,2009-09-14T00:00:00.000Z,,,,162,Active,16.2390959988478,0
1731,,Permit,,2009-07-08T00:00:00.000Z,Permit Holders Only,,,,Active,12.1107999985351,0
1732,,Unrestricted,,2009-09-14T00:00:00.000Z,,,,162,Active,16.2415049992426,0
1733,,Unrestricted,,2009-09-14T00:00:00.000Z,,,,162,Active,16.2415049992426,0
1734,,Unrestricted,,2009-09-14T00:00:00.000Z,,,,162,Active,16.2394365034376,0
1735,,Permit,,2009-07-08T00:00:00.000Z,Permit Holders Only,,,,Active,12.1065860017763,0
1736,,Bus Stop,,2008-04-21T00:00:00.000Z,Bus Zone - Reserved for West Tamar Buses,,,,Active,18.1609428672898,0
1737,,Signed,30,2008-06-19T00:00:00.000Z,"1/2P, 8am-5:30pm, Monday to Saturday",,,,Active,14.9037750003402,0
1738,,Bus Stop,,2008-04-22T00:00:00.000Z,Bus Zone 8:00am-6:00pm Mon-Fri Reserved for Longford and West Tamar Buses,,,,Active,56.9249110057776,0
1739,,Unrestricted,,2009-09-14T00:00:00.000Z,,,,162,Active,13.7545864976861,0
1740,,Bus Stop,,2008-08-12T00:00:00.000Z,Bus Stop, ,,507,Active,48.1068929064779,0
1741,,Bus Stop,,2008-04-21T00:00:00.000Z,Bus Stop - Metro,,,,Active,43.2125059976327,0
1742,,Unrestricted,,2009-09-14T00:00:00.000Z,,,,162,Active,16.2390960010913,0
1743,46 Frederick St,Signed,30,2016-05-24T00:00:00.000Z,1/2 P 1pm-6pm Mon-Fri,,,1109,Active,33.6550944366675,0
1744,,Unrestricted,,2009-09-14T00:00:00.000Z,,,,162,Active,13.7545864981368,0
1746,,Bus Stop,,2008-04-21T00:00:00.000Z,Bus Zone - Metro,,,,Active,26.6530299987479,0
1747,,Unrestricted,,2009-09-14T00:00:00.000Z,,,,162,Active,16.2390959988478,0
1748,,Unrestricted,,2009-09-14T00:00:00.000Z,,,,162,Active,13.7529204995097,0
1749,,Bus Stop,,2009-01-16T00:00:00.000Z,Bus Zone - Metro, ,,,Active,68.4518860065559,0
1750,,Bus Stop,,2009-01-16T00:00:00.000Z,Bus Zone - Metro, ,,,Active,44.6340999935592,0
1751,,Bus Stop,,2008-04-16T00:00:00.000Z,Bus Zone,,,,Active,26.447949495501,0
1752,,Unrestricted,,2009-09-14T00:00:00.000Z,,,,162,Active,16.2415049992426,0
1753,,Signed,60,2008-04-16T00:00:00.000Z,1P 9:00am-6:00pm Mon-Fri,,,,Active,14.3072629988639,0
1754,,Permit,180,2009-04-20T00:00:00.000Z,"3P; 9am-5pm; Mon-Fri",Area N,,,Active,11.9505755003675,0
